well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
A10,4,T15,Control,0ms,32,0.69495946,0.14685823,0.30504054,0.14685823,0.0625
A10,4,T2,Control,0ms,32,0.5597763,0.21298994,0.4402237,0.21298994,0.28125
A10,4,T3,Control,0ms,32,0.58353156,0.18603271,0.41646844,0.1860327,0.3125
A10,4,T4,Control,0ms,32,0.61402446,0.17429194,0.38597554,0.17429192,0.21875
A10,4,T5,Control,0ms,32,0.65857667,0.13358532,0.34142336,0.13358532,0.125
A10,4,T6,Control,0ms,32,0.67069757,0.15244958,0.3293024,0.15244958,0.125
A10,4,T7,Control,0ms,32,0.6943825,0.13074638,0.3056175,0.13074638,0.125
A10,4,T8,Control,0ms,32,0.70790046,0.114494406,0.29209954,0.11449441,0.0625
A10,4,T9,Control,0ms,32,0.71235377,0.108904354,0.2876462,0.108904354,0.03125
A11,1,T0,Control,0ms,6,0.27787924,0.2722818,0.72212076,0.27228177,0.6666666666666666
A11,1,T1,Control,0ms,6,0.33317265,0.26909748,0.6668274,0.26909748,0.6666666666666666
A11,1,T10,Control,0ms,6,0.7234924,0.08024251,0.27650765,0.08024253,0.0
A11,1,T11,Control,0ms,6,0.6953184,0.17776088,0.30468163,0.17776088,0.16666666666666666
A11,1,T12,Control,0ms,6,0.72691387,0.15099533,0.27308616,0.15099534,0.16666666666666666
A11,1,T13,Control,0ms,6,0.70840603,0.2047586,0.29159394,0.2047586,0.16666666666666666
A11,1,T14,Control,0ms,6,0.72173864,0.20180771,0.2782614,0.20180774,0.16666666666666666
A11,1,T15,Control,0ms,6,0.7389614,0.17071576,0.26103857,0.17071573,0.16666666666666666
A11,1,T2,Control,0ms,6,0.41472626,0.25781462,0.58527374,0.2578146,0.5
A11,1,T3,Control,0ms,6,0.5140307,0.20931043,0.48596933,0.20931043,0.5
A11,1,T4,Control,0ms,6,0.50595903,0.24718778,0.49404097,0.24718778,0.5
A11,1,T5,Control,0ms,6,0.55536205,0.22345997,0.44463792,0.22346,0.3333333333333333
A11,1,T6,Control,0ms,6,0.6212391,0.1427925,0.37876084,0.14279248,0.16666666666666666
A11,1,T7,Control,0ms,6,0.63513327,0.12761536,0.3648667,0.12761536,0.16666666666666666
A11,1,T8,Control,0ms,6,0.6539629,0.10615618,0.34603712,0.10615617,0.0
A11,1,T9,Control,0ms,6,0.68911076,0.08467996,0.31088918,0.084679976,0.0
A11,2,T0,Control,10000ms,11,0.41159585,0.15618673,0.5884041,0.15618674,0.6363636363636364
A11,2,T1,Control,10000ms,11,0.51722336,0.20082375,0.48277667,0.20082375,0.2727272727272727
A11,2,T10,Control,10000ms,11,0.7479515,0.067029215,0.2520485,0.06702921,0.0
A11,2,T11,Control,10000ms,11,0.7489298,0.07850856,0.25107017,0.07850857,0.0
A11,2,T12,Control,10000ms,11,0.7555784,0.050462674,0.24442159,0.050462667,0.0
A11,2,T13,Control,10000ms,11,0.7607683,0.053377982,0.23923168,0.053377975,0.0
A11,2,T14,Control,10000ms,11,0.75892293,0.052427303,0.2410771,0.05242729,0.0
A11,2,T15,Control,10000ms,11,0.74799275,0.075081006,0.2520072,0.07508099,0.0
A11,2,T2,Control,10000ms,11,0.633895,0.14238839,0.36610505,0.14238839,0.18181818181818182
A11,2,T3,Control,10000ms,11,0.68606794,0.09255963,0.31393206,0.092559636,0.0
A11,2,T4,Control,10000ms,11,0.708877,0.067552224,0.29112294,0.067552246,0.0
A11,2,T5,Control,10000ms,11,0.7018443,0.09321135,0.29815575,0.09321136,0.09090909090909091
A11,2,T6,Control,10000ms,11,0.72618574,0.0900464,0.27381426,0.0900464,0.09090909090909091
A11,2,T7,Control,10000ms,11,0.73563665,0.10053065,0.2643634,0.10053063,0.09090909090909091
A11,2,T8,Control,10000ms,11,0.7416063,0.0734863,0.25839373,0.073486276,0.0
A11,2,T9,Control,10000ms,11,0.7602697,0.044450775,0.23973027,0.044450786,0.0
A11,3,T0,Control,10000ms,26,0.33792228,0.25087857,0.6620778,0.25087857,0.6923076923076923
A11,3,T1,Control,10000ms,26,0.4601002,0.24252841,0.53989977,0.2425284,0.46153846153846156
A11,3,T10,Control,10000ms,26,0.6939542,0.1259071,0.30604574,0.12590708,0.038461538461538464
A11,3,T11,Control,10000ms,26,0.69369847,0.13617352,0.30630153,0.13617353,0.07692307692307693
A11,3,T12,Control,10000ms,26,0.7134225,0.09824514,0.28657755,0.09824513,0.07692307692307693
A11,3,T13,Control,10000ms,26,0.7143526,0.08850223,0.28564736,0.08850223,0.038461538461538464
A11,3,T14,Control,10000ms,26,0.6914085,0.11924597,0.30859149,0.11924598,0.07692307692307693
A11,3,T15,Control,10000ms,26,0.6746592,0.13861983,0.32534075,0.13861983,0.11538461538461539
A11,3,T2,Control,10000ms,26,0.52980036,0.18475358,0.47019964,0.18475358,0.4230769230769231
A11,3,T3,Control,10000ms,26,0.5903646,0.15998264,0.4096354,0.15998264,0.3076923076923077
A11,3,T4,Control,10000ms,26,0.62367874,0.15553084,0.37632132,0.15553084,0.19230769230769232
A11,3,T5,Control,10000ms,26,0.64768,0.15439996,0.35232005,0.15439998,0.15384615384615385
A11,3,T6,Control,10000ms,26,0.6696103,0.14169985,0.3303897,0.14169985,0.15384615384615385
A11,3,T7,Control,10000ms,26,0.6921275,0.116939515,0.30787244,0.116939515,0.038461538461538464
A11,3,T8,Control,10000ms,26,0.69356626,0.1011349,0.3064337,0.10113491,0.038461538461538464
A11,3,T9,Control,10000ms,26,0.6967584,0.09815413,0.30324158,0.09815413,0.038461538461538464
A11,4,T0,Control,0ms,22,0.3155645,0.23554659,0.6844355,0.23554657,0.7727272727272727
