neuron_id,condition,cell_line,drug,well,tile,stimulation,original_hdf5,num_timepoints,timepoint,timepoint_idx,rfp1_path,halo_path,label_stimulation,label_cell_line,label_timepoint,label_stim_time,label_cell_time,label_cell_stim,label_all,label_6class,class_label,label_binary,confidence_class0,confidence_class1,predicted_class
B3_tile2_n94,Control,Control,DMSO,B3,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_2_94.h5,16,T0,0,images/RFP1/B3_tile2_n94_T0.png,images/Halo/B3_tile2_n94_T0.png,10000ms,Control,T0,10000ms_T0,Control_T0,Control_10000ms,Control_10000ms_T0,Control_T0,unknown,unknown,0.0066833855,0.99331653,1
B3_tile2_n94,Control,Control,DMSO,B3,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_2_94.h5,16,T15,15,images/RFP1/B3_tile2_n94_T15.png,images/Halo/B3_tile2_n94_T15.png,10000ms,Control,T15,10000ms_T15,Control_T15,Control_10000ms,Control_10000ms_T15,Control_10000ms_T16,unknown,unknown,0.026837096,0.97316295,1
B3_tile3_n160,Control,Control,DMSO,B3,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_3_160.h5,16,T0,0,images/RFP1/B3_tile3_n160_T0.png,images/Halo/B3_tile3_n160_T0.png,10000ms,Control,T0,10000ms_T0,Control_T0,Control_10000ms,Control_10000ms_T0,Control_T0,unknown,unknown,0.5840448,0.41595516,0
B3_tile3_n160,Control,Control,DMSO,B3,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_3_160.h5,16,T15,15,images/RFP1/B3_tile3_n160_T15.png,images/Halo/B3_tile3_n160_T15.png,10000ms,Control,T15,10000ms_T15,Control_T15,Control_10000ms,Control_10000ms_T15,Control_10000ms_T16,unknown,unknown,0.03484835,0.96515167,1
B3_tile2_n86,Control,Control,DMSO,B3,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_2_86.h5,16,T0,0,images/RFP1/B3_tile2_n86_T0.png,images/Halo/B3_tile2_n86_T0.png,10000ms,Control,T0,10000ms_T0,Control_T0,Control_10000ms,Control_10000ms_T0,Control_T0,unknown,unknown,0.3886526,0.6113474,1
B3_tile2_n86,Control,Control,DMSO,B3,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_2_86.h5,16,T15,15,images/RFP1/B3_tile2_n86_T15.png,images/Halo/B3_tile2_n86_T15.png,10000ms,Control,T15,10000ms_T15,Control_T15,Control_10000ms,Control_10000ms_T15,Control_10000ms_T16,unknown,unknown,0.4257992,0.5742008,1
B3_tile4_n51,Control,Control,DMSO,B3,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_4_51.h5,16,T0,0,images/RFP1/B3_tile4_n51_T0.png,images/Halo/B3_tile4_n51_T0.png,0ms,Control,T0,0ms_T0,Control_T0,Control_0ms,Control_0ms_T0,Control_T0,unknown,unknown,0.70060647,0.29939348,0
B3_tile4_n51,Control,Control,DMSO,B3,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_4_51.h5,16,T15,15,images/RFP1/B3_tile4_n51_T15.png,images/Halo/B3_tile4_n51_T15.png,0ms,Control,T15,0ms_T15,Control_T15,Control_0ms,Control_0ms_T15,Control_0ms_T16,unknown,unknown,0.79808646,0.20191352,0
B3_tile2_n116,Control,Control,DMSO,B3,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_2_116.h5,16,T0,0,images/RFP1/B3_tile2_n116_T0.png,images/Halo/B3_tile2_n116_T0.png,10000ms,Control,T0,10000ms_T0,Control_T0,Control_10000ms,Control_10000ms_T0,Control_T0,unknown,unknown,0.6702542,0.32974583,0
B3_tile2_n116,Control,Control,DMSO,B3,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/B3/A2screenPlate2_B3_2_116.h5,16,T15,15,images/RFP1/B3_tile2_n116_T15.png,images/Halo/B3_tile2_n116_T15.png,10000ms,Control,T15,10000ms_T15,Control_T15,Control_10000ms,Control_10000ms_T15,Control_10000ms_T16,unknown,unknown,0.7372065,0.2627935,0
