neuron_id,condition,cell_line,drug,well,tile,stimulation,original_hdf5,num_timepoints,timepoint,timepoint_idx,rfp1_path,halo_path,label_stimulation,label_cell_line,label_timepoint,label_stim_time,label_cell_time,label_cell_stim,label_all,label_6class,class_label,label_binary,confidence_class0,confidence_class1,predicted_class
D7_tile4_n21,APPV717I,APPV717I,DMSO,D7,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_4_21.h5,16,T0,0,images/RFP1/D7_tile4_n21_T0.png,images/Halo/D7_tile4_n21_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.004924015,0.995076,1
D7_tile4_n21,APPV717I,APPV717I,DMSO,D7,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_4_21.h5,16,T15,15,images/RFP1/D7_tile4_n21_T15.png,images/Halo/D7_tile4_n21_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,1.0,8.901355e-14,0
D7_tile3_n4,APPV717I,APPV717I,DMSO,D7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_3_4.h5,16,T0,0,images/RFP1/D7_tile3_n4_T0.png,images/Halo/D7_tile3_n4_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,7.318983e-05,0.9999268,1
D7_tile3_n4,APPV717I,APPV717I,DMSO,D7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_3_4.h5,16,T15,15,images/RFP1/D7_tile3_n4_T15.png,images/Halo/D7_tile3_n4_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,1.0,3.7698846e-17,0
D7_tile2_n207,APPV717I,APPV717I,DMSO,D7,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_2_207.h5,16,T0,0,images/RFP1/D7_tile2_n207_T0.png,images/Halo/D7_tile2_n207_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,1.3653996e-05,0.9999863,1
D7_tile2_n207,APPV717I,APPV717I,DMSO,D7,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_2_207.h5,16,T15,15,images/RFP1/D7_tile2_n207_T15.png,images/Halo/D7_tile2_n207_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.004544916,0.995455,1
D7_tile2_n162,APPV717I,APPV717I,DMSO,D7,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_2_162.h5,16,T0,0,images/RFP1/D7_tile2_n162_T0.png,images/Halo/D7_tile2_n162_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,5.477067e-07,0.9999994,1
D7_tile2_n162,APPV717I,APPV717I,DMSO,D7,2,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_2_162.h5,16,T15,15,images/RFP1/D7_tile2_n162_T15.png,images/Halo/D7_tile2_n162_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.9971335,0.0028665166,0
D7_tile3_n292,APPV717I,APPV717I,DMSO,D7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_3_292.h5,16,T0,0,images/RFP1/D7_tile3_n292_T0.png,images/Halo/D7_tile3_n292_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,2.5529433e-05,0.9999745,1
D7_tile3_n292,APPV717I,APPV717I,DMSO,D7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_3_292.h5,16,T15,15,images/RFP1/D7_tile3_n292_T15.png,images/Halo/D7_tile3_n292_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.9363316,0.06366841,0
D7_tile4_n107,APPV717I,APPV717I,DMSO,D7,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_4_107.h5,16,T0,0,images/RFP1/D7_tile4_n107_T0.png,images/Halo/D7_tile4_n107_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.014917291,0.98508275,1
D7_tile4_n107,APPV717I,APPV717I,DMSO,D7,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_4_107.h5,16,T15,15,images/RFP1/D7_tile4_n107_T15.png,images/Halo/D7_tile4_n107_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.9998393,0.00016063232,0
D7_tile4_n158,APPV717I,APPV717I,DMSO,D7,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_4_158.h5,16,T0,0,images/RFP1/D7_tile4_n158_T0.png,images/Halo/D7_tile4_n158_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.05021624,0.94978374,1
D7_tile4_n158,APPV717I,APPV717I,DMSO,D7,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_4_158.h5,16,T15,15,images/RFP1/D7_tile4_n158_T15.png,images/Halo/D7_tile4_n158_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.0864331,0.9135669,1
D7_tile3_n67,APPV717I,APPV717I,DMSO,D7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_3_67.h5,16,T0,0,images/RFP1/D7_tile3_n67_T0.png,images/Halo/D7_tile3_n67_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,8.459779e-05,0.99991536,1
D7_tile3_n67,APPV717I,APPV717I,DMSO,D7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_3_67.h5,16,T15,15,images/RFP1/D7_tile3_n67_T15.png,images/Halo/D7_tile3_n67_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.006012449,0.99398756,1
D7_tile3_n36,APPV717I,APPV717I,DMSO,D7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_3_36.h5,16,T0,0,images/RFP1/D7_tile3_n36_T0.png,images/Halo/D7_tile3_n36_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,2.305408e-05,0.999977,1
D7_tile3_n36,APPV717I,APPV717I,DMSO,D7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_3_36.h5,16,T15,15,images/RFP1/D7_tile3_n36_T15.png,images/Halo/D7_tile3_n36_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.0043486375,0.9956514,1
D7_tile4_n82,APPV717I,APPV717I,DMSO,D7,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_4_82.h5,16,T0,0,images/RFP1/D7_tile4_n82_T0.png,images/Halo/D7_tile4_n82_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.030200709,0.96979934,1
D7_tile4_n82,APPV717I,APPV717I,DMSO,D7,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_4_82.h5,16,T15,15,images/RFP1/D7_tile4_n82_T15.png,images/Halo/D7_tile4_n82_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.9999788,2.1231424e-05,0
D7_tile3_n173,APPV717I,APPV717I,DMSO,D7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_3_173.h5,16,T0,0,images/RFP1/D7_tile3_n173_T0.png,images/Halo/D7_tile3_n173_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,0.39440048,0.6055995,1
D7_tile3_n173,APPV717I,APPV717I,DMSO,D7,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_3_173.h5,16,T15,15,images/RFP1/D7_tile3_n173_T15.png,images/Halo/D7_tile3_n173_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,1.0,1.3681984e-09,0
D7_tile1_n564,APPV717I,APPV717I,DMSO,D7,1,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_1_564.h5,16,T0,0,images/RFP1/D7_tile1_n564_T0.png,images/Halo/D7_tile1_n564_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.0027598683,0.99724007,1
D7_tile1_n564,APPV717I,APPV717I,DMSO,D7,1,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/D7/A2screenPlate2_D7_1_564.h5,16,T15,15,images/RFP1/D7_tile1_n564_T15.png,images/Halo/D7_tile1_n564_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,1.0,3.4308426e-10,0
