well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
C4,1,T15,APPV717I,0ms,9,0.5024595,0.29885435,0.49754047,0.29885435,0.2222222222222222
C4,2,T0,APPV717I,10000ms,40,0.28495347,0.24683605,0.7150465,0.24683604,0.8
C4,2,T15,APPV717I,10000ms,40,0.46570772,0.34007585,0.5342923,0.34007585,0.4
C4,3,T0,APPV717I,10000ms,46,0.3328989,0.28076592,0.6671011,0.28076592,0.6304347826086957
C4,3,T15,APPV717I,10000ms,46,0.5415323,0.3250258,0.45846772,0.32502577,0.2608695652173913
C4,4,T0,APPV717I,0ms,25,0.410096,0.26278096,0.589904,0.26278093,0.44
C4,4,T15,APPV717I,0ms,25,0.6306368,0.2781688,0.36936322,0.2781688,0.2
C7,1,T0,APPV717I,0ms,13,0.58462185,0.19363669,0.4153781,0.19363667,0.15384615384615385
C7,1,T15,APPV717I,0ms,13,0.6957531,0.20860876,0.3042469,0.20860876,0.07692307692307693
C7,2,T0,APPV717I,10000ms,36,0.45370647,0.27347597,0.5462935,0.27347597,0.4444444444444444
C7,2,T15,APPV717I,10000ms,36,0.6486881,0.2213419,0.35131192,0.2213419,0.1388888888888889
C7,3,T0,APPV717I,10000ms,36,0.4421723,0.2771628,0.5578277,0.2771628,0.4166666666666667
C7,3,T15,APPV717I,10000ms,36,0.69295,0.15680552,0.30704996,0.15680552,0.1111111111111111
C7,4,T0,APPV717I,0ms,24,0.4267598,0.2896264,0.5732402,0.2896264,0.4166666666666667
C7,4,T15,APPV717I,0ms,24,0.65438277,0.24721041,0.3456172,0.24721043,0.16666666666666666
D11,1,T0,APPV717I,0ms,9,0.60604215,0.14650628,0.39395785,0.14650628,0.3333333333333333
D11,1,T15,APPV717I,0ms,9,0.67807144,0.23607446,0.32192856,0.23607448,0.1111111111111111
D11,2,T0,APPV717I,10000ms,32,0.52731425,0.2506116,0.47268572,0.2506116,0.3125
D11,2,T15,APPV717I,10000ms,32,0.7320756,0.127926,0.26792443,0.127926,0.125
D11,3,T0,APPV717I,10000ms,39,0.5098982,0.21690504,0.49010178,0.21690506,0.4358974358974359
D11,3,T15,APPV717I,10000ms,39,0.7652527,0.080415696,0.2347473,0.0804157,0.02564102564102564
D11,4,T0,APPV717I,0ms,46,0.50595826,0.24641484,0.49404174,0.24641484,0.41304347826086957
D11,4,T15,APPV717I,0ms,46,0.7436562,0.108508006,0.25634375,0.10850801,0.043478260869565216
D4,1,T0,APPV717I,0ms,24,0.32321063,0.30969262,0.67678934,0.30969262,0.5416666666666666
D4,1,T15,APPV717I,0ms,24,0.47632924,0.33472496,0.5236708,0.33472496,0.3333333333333333
D4,2,T0,APPV717I,10000ms,42,0.33401448,0.27854988,0.6659856,0.27854988,0.6428571428571429
D4,2,T15,APPV717I,10000ms,42,0.46057242,0.31531516,0.53942764,0.31531516,0.47619047619047616
D4,3,T0,APPV717I,10000ms,42,0.30611134,0.28350782,0.69388866,0.2835078,0.6666666666666666
D4,3,T15,APPV717I,10000ms,42,0.51046073,0.31914043,0.48953924,0.31914043,0.30952380952380953
D4,4,T0,APPV717I,0ms,36,0.30948666,0.2781395,0.6905134,0.27813947,0.6944444444444444
D4,4,T15,APPV717I,0ms,36,0.48593733,0.32036367,0.51406264,0.32036367,0.4444444444444444
D7,1,T0,APPV717I,0ms,7,0.43117645,0.29082742,0.5688235,0.29082742,0.42857142857142855
D7,1,T15,APPV717I,0ms,7,0.61878836,0.18590361,0.38121167,0.1859036,0.2857142857142857
D7,2,T0,APPV717I,10000ms,27,0.33200285,0.26490012,0.6679971,0.26490015,0.6666666666666666
D7,2,T15,APPV717I,10000ms,27,0.52445537,0.2767397,0.47554466,0.2767397,0.3333333333333333
D7,3,T0,APPV717I,10000ms,37,0.41269788,0.26122242,0.58730215,0.26122245,0.5405405405405406
D7,3,T15,APPV717I,10000ms,37,0.5424375,0.2631722,0.45756254,0.2631722,0.32432432432432434
D7,4,T0,APPV717I,0ms,36,0.356087,0.27696192,0.64391303,0.27696192,0.5833333333333334
D7,4,T15,APPV717I,0ms,36,0.57230335,0.27171567,0.42769665,0.27171567,0.25
E1,1,T0,APPV717I,0ms,38,0.51517755,0.22897625,0.48482242,0.22897625,0.2894736842105263
E1,1,T15,APPV717I,0ms,38,0.7275898,0.17254585,0.27241027,0.17254587,0.07894736842105263
E1,2,T0,APPV717I,10000ms,43,0.5270985,0.24021041,0.47290155,0.24021041,0.27906976744186046
E1,2,T15,APPV717I,10000ms,43,0.7484499,0.055306133,0.2515501,0.05530613,0.0
E1,3,T0,APPV717I,10000ms,38,0.44711977,0.27346864,0.5528802,0.27346864,0.4473684210526316
E1,3,T15,APPV717I,10000ms,38,0.74036926,0.14636248,0.25963077,0.14636247,0.05263157894736842
E1,4,T0,APPV717I,0ms,30,0.4923561,0.235404,0.50764394,0.235404,0.3333333333333333
E1,4,T15,APPV717I,0ms,30,0.7262341,0.15205055,0.27376592,0.15205055,0.1
F18,1,T0,APPV717I,0ms,17,0.37049842,0.29242846,0.6295016,0.29242846,0.5294117647058824
F18,1,T15,APPV717I,0ms,17,0.6364419,0.15033199,0.36355808,0.15033199,0.17647058823529413
F18,2,T0,APPV717I,10000ms,37,0.47970897,0.2225643,0.520291,0.22256431,0.4594594594594595
F18,2,T15,APPV717I,10000ms,37,0.6777845,0.14070123,0.3222155,0.14070122,0.10810810810810811
F18,3,T0,APPV717I,10000ms,47,0.5306748,0.19382533,0.4693252,0.19382533,0.3404255319148936
F18,3,T15,APPV717I,10000ms,47,0.68889827,0.14893474,0.31110176,0.14893474,0.1276595744680851
F18,4,T0,APPV717I,0ms,55,0.47994614,0.25244915,0.52005386,0.25244915,0.34545454545454546
F18,4,T15,APPV717I,0ms,55,0.660713,0.20229456,0.339287,0.20229456,0.12727272727272726
F20,1,T0,APPV717I,0ms,16,0.45306122,0.28985545,0.5469388,0.28985548,0.5
F20,1,T15,APPV717I,0ms,16,0.66158694,0.15567906,0.33841306,0.15567906,0.0625
F20,2,T0,APPV717I,10000ms,43,0.5036316,0.2546342,0.4963684,0.25463423,0.32558139534883723
F20,2,T15,APPV717I,10000ms,43,0.70655054,0.15314502,0.29344943,0.15314503,0.11627906976744186
F20,3,T0,APPV717I,10000ms,52,0.49220738,0.2338208,0.5077926,0.2338208,0.36538461538461536
F20,3,T15,APPV717I,10000ms,52,0.69195455,0.1647568,0.30804545,0.1647568,0.11538461538461539
F20,4,T0,APPV717I,0ms,43,0.47318333,0.2526605,0.52681667,0.2526605,0.4418604651162791
F20,4,T15,APPV717I,0ms,43,0.6895396,0.17791526,0.3104604,0.17791526,0.11627906976744186
F22,1,T0,APPV717I,0ms,34,0.51448095,0.19935726,0.48551908,0.19935726,0.38235294117647056
F22,1,T15,APPV717I,0ms,34,0.67392874,0.23605235,0.3260713,0.23605235,0.11764705882352941
F22,2,T0,APPV717I,10000ms,32,0.4545598,0.25488397,0.5454402,0.25488397,0.5
F22,2,T15,APPV717I,10000ms,32,0.6447321,0.23474233,0.35526788,0.23474234,0.15625
F22,3,T0,APPV717I,10000ms,39,0.4513774,0.24517383,0.5486226,0.24517383,0.5641025641025641
F22,3,T15,APPV717I,10000ms,39,0.7196392,0.15346247,0.28036085,0.15346247,0.05128205128205128
F22,4,T0,APPV717I,0ms,67,0.45551002,0.26918384,0.54449004,0.26918384,0.44776119402985076
F22,4,T15,APPV717I,0ms,67,0.6774491,0.23508722,0.3225509,0.23508722,0.13432835820895522
F23,1,T0,APPV717I,0ms,15,0.5499871,0.15206379,0.4500129,0.15206379,0.26666666666666666
F23,1,T15,APPV717I,0ms,15,0.7504461,0.0897733,0.24955396,0.089773305,0.0
F23,2,T0,APPV717I,10000ms,32,0.49609903,0.22305837,0.50390095,0.22305837,0.4375
F23,2,T15,APPV717I,10000ms,32,0.76023966,0.10846094,0.23976037,0.108460926,0.03125
F23,3,T0,APPV717I,10000ms,27,0.5831667,0.19116701,0.41683328,0.19116703,0.14814814814814814
F23,3,T15,APPV717I,10000ms,27,0.7579203,0.15395018,0.24207968,0.15395018,0.07407407407407407
F23,4,T0,APPV717I,0ms,28,0.5501123,0.20114759,0.44988766,0.2011476,0.35714285714285715
F23,4,T15,APPV717I,0ms,28,0.76500785,0.056756023,0.23499218,0.05675603,0.0
F7,1,T0,APPV717I,0ms,2,0.26900843,0.31141567,0.73099154,0.31141564,1.0
F7,1,T15,APPV717I,0ms,2,0.4400313,0.20886834,0.5599687,0.20886834,0.5
F7,2,T0,APPV717I,10000ms,38,0.44480836,0.23646407,0.55519164,0.23646407,0.47368421052631576
F7,2,T15,APPV717I,10000ms,38,0.70027727,0.15485173,0.29972273,0.15485173,0.07894736842105263
F7,3,T0,APPV717I,10000ms,59,0.41857353,0.2620753,0.58142644,0.2620753,0.559322033898305
F7,3,T15,APPV717I,10000ms,59,0.6826152,0.21735139,0.31738478,0.21735139,0.13559322033898305
F7,4,T0,APPV717I,0ms,27,0.47093502,0.2226424,0.529065,0.22264242,0.48148148148148145
F7,4,T15,APPV717I,0ms,27,0.6979919,0.19413954,0.3020081,0.19413954,0.07407407407407407
G10,2,T0,APPV717I,10000ms,38,0.46428475,0.2359626,0.5357152,0.2359626,0.4473684210526316
G10,2,T15,APPV717I,10000ms,38,0.67239577,0.15426056,0.3276042,0.15426056,0.15789473684210525
G10,3,T0,APPV717I,10000ms,48,0.5055975,0.20315112,0.49440253,0.20315114,0.375
G10,3,T15,APPV717I,10000ms,48,0.6981552,0.15976758,0.3018448,0.15976758,0.10416666666666667
G10,4,T0,APPV717I,0ms,52,0.42536643,0.24008816,0.57463354,0.24008816,0.5769230769230769
G10,4,T15,APPV717I,0ms,52,0.6584004,0.1674252,0.34159964,0.1674252,0.1346153846153846
H23,1,T0,APPV717I,0ms,17,0.47288233,0.21850814,0.52711767,0.21850814,0.47058823529411764
H23,1,T15,APPV717I,0ms,17,0.6848136,0.18429512,0.31518638,0.1842951,0.11764705882352941
H23,2,T0,APPV717I,10000ms,26,0.46715477,0.18724902,0.53284526,0.18724903,0.5384615384615384
H23,2,T15,APPV717I,10000ms,26,0.7431168,0.11777295,0.25688317,0.11777296,0.038461538461538464
H23,3,T0,APPV717I,10000ms,28,0.5058366,0.23191439,0.49416342,0.23191439,0.39285714285714285
H23,3,T15,APPV717I,10000ms,28,0.7274431,0.118163906,0.27255696,0.118163906,0.10714285714285714
H23,4,T0,APPV717I,0ms,29,0.49002656,0.22656275,0.5099734,0.22656275,0.41379310344827586
H23,4,T15,APPV717I,0ms,29,0.73052174,0.11099017,0.26947823,0.110990174,0.06896551724137931
H24,1,T0,APPV717I,0ms,18,0.49603122,0.27982375,0.5039688,0.27982375,0.2777777777777778
H24,1,T15,APPV717I,0ms,18,0.62301,0.21141848,0.37699002,0.21141848,0.16666666666666666
H24,2,T0,APPV717I,10000ms,23,0.5159909,0.24994247,0.4840091,0.24994248,0.391304347826087
H24,2,T15,APPV717I,10000ms,23,0.69296783,0.13883807,0.30703214,0.13883808,0.13043478260869565
H24,3,T0,APPV717I,10000ms,18,0.4027237,0.28139248,0.5972763,0.28139248,0.5
H24,3,T15,APPV717I,10000ms,18,0.6127132,0.18055761,0.38728675,0.18055761,0.2777777777777778
H24,4,T0,APPV717I,0ms,33,0.37523127,0.26754877,0.62476873,0.26754877,0.6060606060606061
H24,4,T15,APPV717I,0ms,33,0.64110374,0.21938701,0.35889626,0.21938701,0.12121212121212122
I19,1,T0,APPV717I,0ms,17,0.17680204,0.20678875,0.82319796,0.20678875,0.8823529411764706
I19,1,T15,APPV717I,0ms,17,0.49925736,0.33374396,0.5007426,0.33374396,0.35294117647058826
I19,2,T0,APPV717I,10000ms,21,0.37753865,0.22842331,0.6224614,0.22842331,0.6666666666666666
I19,2,T15,APPV717I,10000ms,21,0.5616588,0.26655143,0.4383412,0.26655143,0.2857142857142857
I19,3,T0,APPV717I,10000ms,20,0.35745603,0.2646719,0.642544,0.2646719,0.6
I19,3,T15,APPV717I,10000ms,20,0.50732064,0.31531343,0.49267936,0.31531343,0.3
I19,4,T0,APPV717I,0ms,42,0.38470882,0.24440192,0.6152912,0.24440192,0.6428571428571429
I19,4,T15,APPV717I,0ms,42,0.6178825,0.22630775,0.3821175,0.22630775,0.14285714285714285
I2,1,T0,APPV717I,0ms,5,0.5556797,0.16444562,0.44432035,0.16444562,0.2
I2,1,T15,APPV717I,0ms,5,0.5766189,0.2754592,0.4233811,0.27545923,0.2
I2,2,T0,APPV717I,10000ms,43,0.45468223,0.25428292,0.54531777,0.25428295,0.5348837209302325
I2,2,T15,APPV717I,10000ms,43,0.7378522,0.11645106,0.26214775,0.11645106,0.09302325581395349
I2,3,T0,APPV717I,10000ms,55,0.5119864,0.20092377,0.4880136,0.20092379,0.41818181818181815
I2,3,T15,APPV717I,10000ms,55,0.6939885,0.16910455,0.30601144,0.16910453,0.14545454545454545
I2,4,T0,APPV717I,0ms,37,0.45419383,0.22719295,0.54580617,0.22719295,0.5405405405405406
I2,4,T15,APPV717I,0ms,37,0.714199,0.13420483,0.285801,0.13420483,0.05405405405405406
I20,1,T0,APPV717I,0ms,29,0.43165866,0.2675763,0.5683414,0.2675763,0.4482758620689655
I20,1,T15,APPV717I,0ms,29,0.6277639,0.17621233,0.37223604,0.17621233,0.20689655172413793
I20,2,T0,APPV717I,10000ms,39,0.47054908,0.22706077,0.52945095,0.22706075,0.46153846153846156
I20,2,T15,APPV717I,10000ms,39,0.66699,0.20505977,0.33301005,0.20505977,0.15384615384615385
I20,3,T0,APPV717I,10000ms,44,0.51318896,0.22585116,0.48681104,0.22585115,0.3409090909090909
I20,3,T15,APPV717I,10000ms,44,0.6782926,0.18718587,0.32170743,0.18718585,0.11363636363636363
I20,4,T0,APPV717I,0ms,38,0.4592361,0.22800533,0.5407639,0.22800533,0.4473684210526316
I20,4,T15,APPV717I,0ms,38,0.6799489,0.15253861,0.3200511,0.1525386,0.15789473684210525
I22,1,T0,APPV717I,0ms,39,0.471977,0.22223231,0.528023,0.22223233,0.5128205128205128
I22,1,T15,APPV717I,0ms,39,0.755738,0.06905834,0.24426198,0.069058344,0.0
I22,2,T0,APPV717I,10000ms,47,0.4955911,0.1846764,0.5044089,0.1846764,0.40425531914893614
I22,2,T15,APPV717I,10000ms,47,0.69122654,0.21666178,0.30877343,0.21666178,0.10638297872340426
I22,3,T0,APPV717I,10000ms,18,0.5325308,0.17223997,0.46746922,0.17223997,0.3888888888888889
I22,3,T15,APPV717I,10000ms,18,0.72346336,0.114404164,0.2765366,0.11440418,0.05555555555555555
I22,4,T0,APPV717I,0ms,50,0.49378273,0.22686464,0.50621724,0.22686465,0.4
I22,4,T15,APPV717I,0ms,50,0.6958678,0.16546641,0.30413222,0.1654664,0.08
I23,1,T0,APPV717I,0ms,17,0.41193363,0.29569107,0.5880664,0.2956911,0.5294117647058824
I23,1,T15,APPV717I,0ms,17,0.5838237,0.3043813,0.41617635,0.3043813,0.23529411764705882
I23,2,T0,APPV717I,10000ms,25,0.40810314,0.2602372,0.59189683,0.26023722,0.56
I23,2,T15,APPV717I,10000ms,25,0.5654446,0.29099792,0.4345554,0.29099792,0.28
I23,3,T0,APPV717I,10000ms,19,0.47714108,0.23624103,0.5228589,0.23624104,0.42105263157894735
I23,3,T15,APPV717I,10000ms,19,0.5469271,0.30922154,0.4530729,0.30922154,0.3157894736842105
I23,4,T0,APPV717I,0ms,24,0.42735192,0.28350374,0.5726481,0.28350374,0.5
I23,4,T15,APPV717I,0ms,24,0.44123197,0.3278005,0.55876803,0.32780054,0.4166666666666667
J21,1,T0,APPV717I,0ms,20,0.3978156,0.27332163,0.6021844,0.27332163,0.5
J21,1,T15,APPV717I,0ms,20,0.7531814,0.0706072,0.24681859,0.070607185,0.0
J21,2,T0,APPV717I,10000ms,32,0.5530061,0.18651533,0.44699392,0.18651533,0.3125
J21,2,T15,APPV717I,10000ms,32,0.71362555,0.120633766,0.28637442,0.12063377,0.125
J21,3,T0,APPV717I,10000ms,26,0.4130692,0.25929406,0.5869308,0.25929406,0.5384615384615384
J21,3,T15,APPV717I,10000ms,26,0.7108952,0.1524835,0.28910482,0.15248348,0.11538461538461539
J21,4,T0,APPV717I,0ms,38,0.43742678,0.23876344,0.56257325,0.23876342,0.4473684210526316
J21,4,T15,APPV717I,0ms,38,0.74857706,0.06523158,0.25142294,0.06523158,0.0
J4,1,T0,APPV717I,0ms,8,0.53330326,0.21949042,0.46669674,0.21949044,0.25
J4,1,T15,APPV717I,0ms,8,0.7043153,0.14296338,0.2956847,0.14296338,0.125
J4,2,T0,APPV717I,10000ms,29,0.37044472,0.2243491,0.6295553,0.2243491,0.6551724137931034
J4,2,T15,APPV717I,10000ms,29,0.70619416,0.082014225,0.29380578,0.08201423,0.0
J4,3,T0,APPV717I,10000ms,37,0.47566336,0.2528526,0.52433664,0.2528526,0.4864864864864865
J4,3,T15,APPV717I,10000ms,37,0.67572165,0.15408038,0.32427835,0.15408038,0.10810810810810811
J4,4,T0,APPV717I,0ms,31,0.4537242,0.23474027,0.5462758,0.23474029,0.5161290322580645
J4,4,T15,APPV717I,0ms,31,0.73184806,0.09194609,0.26815194,0.09194609,0.03225806451612903
J5,1,T0,APPV717I,0ms,4,0.38548282,0.2461223,0.6145172,0.24612232,0.5
J5,1,T15,APPV717I,0ms,4,0.6715826,0.16269131,0.32841742,0.16269132,0.25
J5,2,T0,APPV717I,10000ms,47,0.46996522,0.21339671,0.5300348,0.21339671,0.425531914893617
J5,2,T15,APPV717I,10000ms,47,0.69466394,0.15874904,0.30533603,0.15874904,0.0851063829787234
J5,3,T0,APPV717I,10000ms,38,0.448251,0.25535986,0.55174893,0.25535983,0.47368421052631576
J5,3,T15,APPV717I,10000ms,38,0.68921,0.179561,0.31079003,0.179561,0.07894736842105263
J5,4,T0,APPV717I,0ms,28,0.48677275,0.21996485,0.5132273,0.21996486,0.4642857142857143
J5,4,T15,APPV717I,0ms,28,0.7171911,0.13811262,0.28280893,0.13811262,0.07142857142857142
J6,1,T0,APPV717I,0ms,11,0.3778787,0.30414537,0.6221213,0.30414537,0.5454545454545454
J6,1,T15,APPV717I,0ms,11,0.5206082,0.30252635,0.47939178,0.30252635,0.45454545454545453
J6,2,T0,APPV717I,10000ms,25,0.39560494,0.28772572,0.6043951,0.2877257,0.52
J6,2,T15,APPV717I,10000ms,25,0.53293544,0.32517135,0.4670645,0.32517135,0.28
J6,3,T0,APPV717I,10000ms,26,0.40732205,0.2327236,0.59267795,0.2327236,0.6153846153846154
J6,3,T15,APPV717I,10000ms,26,0.54482895,0.29047245,0.45517108,0.29047245,0.3076923076923077
J6,4,T0,APPV717I,0ms,36,0.4131873,0.24168776,0.58681273,0.24168776,0.5555555555555556
J6,4,T15,APPV717I,0ms,36,0.6001396,0.24789844,0.39986038,0.24789844,0.19444444444444445
J8,1,T0,APPV717I,0ms,1,0.7124499,,0.28755012,,0.0
J8,1,T15,APPV717I,0ms,1,0.8290509,,0.1709491,,0.0
J8,2,T0,APPV717I,10000ms,41,0.31986126,0.25935584,0.68013877,0.25935584,0.6585365853658537
J8,2,T15,APPV717I,10000ms,41,0.527028,0.30203763,0.47297198,0.30203763,0.3170731707317073
J8,3,T0,APPV717I,10000ms,31,0.36275458,0.26094884,0.6372454,0.26094884,0.6129032258064516
J8,3,T15,APPV717I,10000ms,31,0.5698798,0.3162855,0.43012026,0.3162855,0.25806451612903225
J8,4,T0,APPV717I,0ms,49,0.36247626,0.2537578,0.6375237,0.2537578,0.673469387755102
J8,4,T15,APPV717I,0ms,49,0.53972083,0.31245774,0.46027917,0.31245774,0.32653061224489793
