well,tile,timepoint,condition,stimulation,n_neurons,mean_confidence_class0,std_confidence_class0,mean_confidence_class1,std_confidence_class1,fraction_predicted_class1
C4,1,T15,APPV717I,0ms,9,0.4776509,0.33069533,0.5223491,0.33069533,0.4444444444444444
C4,2,T0,APPV717I,10000ms,40,0.54174805,0.3088843,0.4582519,0.3088843,0.35
C4,2,T15,APPV717I,10000ms,40,0.46063456,0.3465697,0.5393654,0.3465697,0.375
C4,3,T0,APPV717I,10000ms,46,0.58030355,0.31530097,0.41969642,0.31530097,0.2826086956521739
C4,3,T15,APPV717I,10000ms,46,0.5264584,0.32096228,0.4735416,0.32096228,0.3695652173913043
C4,4,T0,APPV717I,0ms,25,0.67113566,0.25603655,0.3288644,0.25603655,0.12
C4,4,T15,APPV717I,0ms,25,0.61062586,0.27027372,0.38937414,0.27027372,0.28
C7,1,T0,APPV717I,0ms,13,0.76077646,0.21054316,0.23922355,0.21054316,0.07692307692307693
C7,1,T15,APPV717I,0ms,13,0.7238578,0.23078364,0.27614215,0.23078364,0.07692307692307693
C7,2,T0,APPV717I,10000ms,36,0.701952,0.22067095,0.29804802,0.22067094,0.1388888888888889
C7,2,T15,APPV717I,10000ms,36,0.70315385,0.2245392,0.29684612,0.2245392,0.1111111111111111
C7,3,T0,APPV717I,10000ms,36,0.7294145,0.17200533,0.2705855,0.17200531,0.08333333333333333
C7,3,T15,APPV717I,10000ms,36,0.7074184,0.22098093,0.29258162,0.22098091,0.1111111111111111
C7,4,T0,APPV717I,0ms,24,0.6386322,0.28495857,0.36136782,0.28495854,0.20833333333333334
C7,4,T15,APPV717I,0ms,24,0.60419744,0.2958665,0.3958026,0.29586652,0.20833333333333334
D11,1,T0,APPV717I,0ms,9,0.7011171,0.1732402,0.29888293,0.17324018,0.1111111111111111
D11,1,T15,APPV717I,0ms,9,0.54828143,0.2776657,0.45171854,0.2776657,0.3333333333333333
D11,2,T0,APPV717I,10000ms,32,0.7119606,0.16547976,0.2880394,0.16547976,0.125
D11,2,T15,APPV717I,10000ms,32,0.7146606,0.15572697,0.28533942,0.15572698,0.0625
D11,3,T0,APPV717I,10000ms,39,0.6781495,0.19292024,0.32185048,0.19292024,0.10256410256410256
D11,3,T15,APPV717I,10000ms,39,0.67571574,0.21077244,0.32428432,0.21077245,0.1282051282051282
D11,4,T0,APPV717I,0ms,46,0.6859517,0.16039343,0.31404832,0.16039343,0.08695652173913043
D11,4,T15,APPV717I,0ms,46,0.6474152,0.20705341,0.35258475,0.2070534,0.1956521739130435
D4,1,T0,APPV717I,0ms,24,0.41719362,0.3502867,0.5828064,0.3502867,0.5
D4,1,T15,APPV717I,0ms,24,0.38655198,0.32210124,0.613448,0.3221012,0.5
D4,2,T0,APPV717I,10000ms,42,0.47374675,0.33874714,0.5262532,0.33874714,0.42857142857142855
D4,2,T15,APPV717I,10000ms,42,0.4067533,0.3105196,0.59324664,0.3105196,0.5
D4,3,T0,APPV717I,10000ms,42,0.4420622,0.32941058,0.5579378,0.32941058,0.42857142857142855
D4,3,T15,APPV717I,10000ms,42,0.44583336,0.31729814,0.5541667,0.31729814,0.40476190476190477
D4,4,T0,APPV717I,0ms,36,0.4873351,0.3192543,0.5126649,0.3192543,0.3888888888888889
D4,4,T15,APPV717I,0ms,36,0.44837257,0.3033009,0.5516274,0.3033009,0.5
D7,1,T0,APPV717I,0ms,7,0.6501691,0.19435878,0.3498309,0.19435878,0.2857142857142857
