neuron_id,condition,cell_line,drug,well,tile,stimulation,original_hdf5,num_timepoints,timepoint,timepoint_idx,rfp1_path,halo_path,label_stimulation,label_cell_line,label_timepoint,label_stim_time,label_cell_time,label_cell_stim,label_all,label_6class,class_label,label_binary,confidence_class0,confidence_class1,predicted_class
O19_tile4_n201,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_201.h5,16,T0,0,images/RFP1/O19_tile4_n201_T0.png,images/Halo/O19_tile4_n201_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.12135443,0.8786456,1
O19_tile4_n201,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_201.h5,16,T15,15,images/RFP1/O19_tile4_n201_T15.png,images/Halo/O19_tile4_n201_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.9980306,0.001969353,0
O19_tile3_n228,APPV717I,APPV717I,DMSO,O19,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_3_228.h5,16,T0,0,images/RFP1/O19_tile3_n228_T0.png,images/Halo/O19_tile3_n228_T0.png,10000ms,APPV717I,T0,10000ms_T0,APPV717I_T0,APPV717I_10000ms,APPV717I_10000ms_T0,APPV717I_T0,unknown,unknown,0.051374037,0.9486259,1
O19_tile3_n228,APPV717I,APPV717I,DMSO,O19,3,10000ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_3_228.h5,16,T15,15,images/RFP1/O19_tile3_n228_T15.png,images/Halo/O19_tile3_n228_T15.png,10000ms,APPV717I,T15,10000ms_T15,APPV717I_T15,APPV717I_10000ms,APPV717I_10000ms_T15,APPV717I_10000ms_T16,unknown,unknown,0.9999608,3.9273877e-05,0
O19_tile4_n97,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_97.h5,16,T0,0,images/RFP1/O19_tile4_n97_T0.png,images/Halo/O19_tile4_n97_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.0071717766,0.9928282,1
O19_tile4_n97,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_97.h5,16,T15,15,images/RFP1/O19_tile4_n97_T15.png,images/Halo/O19_tile4_n97_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.77976,0.22024006,0
O19_tile4_n86,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_86.h5,16,T0,0,images/RFP1/O19_tile4_n86_T0.png,images/Halo/O19_tile4_n86_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.01975725,0.9802428,1
O19_tile4_n86,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_86.h5,16,T15,15,images/RFP1/O19_tile4_n86_T15.png,images/Halo/O19_tile4_n86_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.94824964,0.05175038,0
O19_tile4_n171,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_171.h5,16,T0,0,images/RFP1/O19_tile4_n171_T0.png,images/Halo/O19_tile4_n171_T0.png,0ms,APPV717I,T0,0ms_T0,APPV717I_T0,APPV717I_0ms,APPV717I_0ms_T0,APPV717I_T0,unknown,unknown,0.012854788,0.9871452,1
O19_tile4_n171,APPV717I,APPV717I,DMSO,O19,4,0ms,/gladstone/finkbeiner/linsley/GXYTMPS/Jeremy/GXYTMP-A2screenPlate2/hdf5_neurons/O19/A2screenPlate2_O19_4_171.h5,16,T15,15,images/RFP1/O19_tile4_n171_T15.png,images/Halo/O19_tile4_n171_T15.png,0ms,APPV717I,T15,0ms_T15,APPV717I_T15,APPV717I_0ms,APPV717I_0ms_T15,APPV717I_0ms_T16,unknown,unknown,0.99912006,0.0008799277,0
